,index,merchant_id,listedproducts,totalunitssold,meanunitssoldperproduct,rating,merchantratingscount,meanproductprices,meanretailprices,averagediscount,meandiscount,meanproductratingscount,totalurgencycount,urgencytextrate,date,sales,merchant_name
266,266,58ba636a69ad29505a730852,2,5100,2550.0,3.832,18138.0,3.37,43.5,54.0,54.0,154.0,,,2020-09-12,834,memo2
267,267,5963882dd9b42511248ca27d,2,5100,2550.0,3.854,2363.0,10.98,10.0,-6.0,-6.5,368.0,1.0,50.0,2021-03-15,404,silveres_9
268,268,5788dc8d88eb7a2e8a04b1b2,2,5100,2550.0,3.955,38258.0,12.5,35.5,33.0,33.0,458.0,,,2021-02-27,125,深圳小志商铺
269,269,5ad4325e9bda4e08bf7fd188,2,5100,2550.0,4.065,8117.0,17.0,64.0,36.0,35.5,386.0,,,2021-02-04,1727,qinjingjing2018
270,270,5d173ba2dbf7606ee45e0b19,2,5100,2550.0,4.216,7851.0,6.0,17.0,65.0,65.0,252.0,,,2021-08-20,7894,wufangzhong
271,271,5b235f8ad1c3603c027fdcda,2,5100,2550.0,4.218,5841.0,10.0,9.5,-3.0,-3.5,1092.0,,,2021-02-03,1901,seaboy2
272,272,583e3e7a5022c71b82d1b18c,2,5100,2550.0,4.236,2199.0,6.34,13.5,28.0,28.0,425.0,1.0,50.0,2021-05-15,2045,bethaz19
273,273,5817f156d8ef7848c3b400cc,2,5100,2550.0,4.386,73595.0,11.5,128.5,91.0,90.5,277.0,2.0,100.0,2020-02-19,4606,ocean5for8zh
274,274,593aa1956a74d26d7914a7e4,1,5000,5000.0,3.682,1021.0,12.0,11.0,-9.0,-9.0,887.0,,,2021-12-05,2438,jeansde
275,275,59a8267535e73b1fe45b702e,1,5000,5000.0,3.687,1686.0,7.0,6.0,-16.0,-16.0,1212.0,,,2020-01-16,4963,cyh888
276,276,5832a8766945cb1c96d3e2d8,1,5000,5000.0,3.795,12348.0,18.0,27.0,34.0,34.0,1058.0,,,2020-05-24,2026,yunanjie
277,277,58314fcb7284901b7ca0d358,1,5000,5000.0,3.8,9678.0,8.0,8.0,0.0,0.0,555.0,,,2020-09-14,3687,yuhkgmaal
278,278,57ac6144abd6d018985e34a7,1,5000,5000.0,3.819,24095.0,15.0,13.0,-15.0,-15.0,1072.0,,,2020-05-11,4548,海涛涛名店
279,279,5ad6ddb822fad74c8ed3fa3a,1,5000,5000.0,3.821,1029.0,9.0,8.0,-12.0,-12.0,429.0,,,2020-12-04,3179,jmm926
280,280,5ae2fae49d5e9703cfd6b63c,1,5000,5000.0,3.843,4830.0,11.0,17.0,36.0,36.0,692.0,1.0,100.0,2021-11-08,888,ahaashop
281,281,59e6e21337f9f80861ee895f,1,5000,5000.0,3.864,7631.0,8.0,50.0,84.0,84.0,1057.0,1.0,100.0,2020-01-04,390,loveisabicth
282,282,5ba8dffeb2f5b12221c73576,1,5000,5000.0,3.873,2608.0,11.0,108.0,90.0,90.0,299.0,,,2021-06-01,8440,xiaojun579
283,283,58de1f5eef07c15511148726,1,5000,5000.0,3.897,3990.0,12.0,16.0,25.0,25.0,701.0,,,2020-08-26,7599,yushimaoyi
284,284,5a6166cbedd44230ea9c60dc,1,5000,5000.0,3.904,2510.0,8.0,7.0,-14.0,-14.0,876.0,1.0,100.0,2021-10-21,1657,wangdandanshixiaoniao
285,285,5b96067f42ebca48f6c041e8,1,5000,5000.0,3.911,4571.0,13.0,17.0,24.0,24.0,792.0,1.0,100.0,2021-09-27,467,eeeeffff889966
286,286,578793716b944637fa356bb4,1,5000,5000.0,3.923,1411.0,6.0,6.0,0.0,0.0,609.0,,,2020-07-20,8878,xingle
287,287,578e02bec0e9340e993d13f4,1,5000,5000.0,3.946,5365.0,8.0,7.0,-14.0,-14.0,309.0,1.0,100.0,2021-06-17,7765,hellocome
288,288,5a1a2758f3c1176a45e41544,1,5000,5000.0,3.946,1490.0,11.0,12.0,9.0,9.0,1045.0,,,2021-04-07,1417,tinaglobalstored00e17e8d25111e7b653025b800a2048
289,289,576518fcf093bd5e79c5e351,1,5000,5000.0,3.946,17244.0,13.0,51.0,75.0,75.0,127.0,1.0,100.0,2021-07-11,5646,praden
290,290,5a5a074d87c25b39c7a80ef1,1,5000,5000.0,3.949,9926.0,6.0,41.0,86.0,86.0,939.0,,,2021-03-18,2978,zhangjian1234
291,291,5646025ecb3a45127928c032,1,5000,5000.0,3.958,5660.0,11.0,10.0,-10.0,-10.0,1897.0,,,2021-07-28,7128,youngerstyle
292,292,54f804901c36ca266909d090,1,5000,5000.0,3.96,15173.0,19.0,17.0,-11.0,-11.0,1163.0,1.0,100.0,2020-01-22,3542,shanghaipangaotradingcoltd
293,293,5b5a8a32f114fc2a4ca301d3,1,5000,5000.0,3.96,7874.0,14.0,27.0,49.0,49.0,1442.0,1.0,100.0,2021-08-28,7125,yangyanlinbh202
294,294,57ff8bcd0712e0312f81ed73,1,5000,5000.0,3.966,1029.0,2.0,2.0,0.0,0.0,320.0,,,2020-09-19,2723,zjyuanhang1
295,295,5ae417f567d25c041f6dd934,1,5000,5000.0,3.978,1288.0,12.0,17.0,30.0,30.0,387.0,,,2021-01-31,224,xiaoameiyou
296,296,5837b0dc751d4d1b6e319c73,1,5000,5000.0,3.981,56745.0,13.0,11.0,-18.0,-18.0,1224.0,,,2020-09-30,3479,vibrance_boutique
297,297,58c4f51a77361650efb028df,1,5000,5000.0,3.981,1821.0,9.0,8.0,-12.0,-12.0,593.0,,,2020-07-24,9880,justlovemequella
298,298,58160e10f870301b4bff64fc,1,5000,5000.0,3.986,3915.0,9.0,8.0,-12.0,-12.0,878.0,1.0,100.0,2020-01-29,3065,zhaojinghui
299,299,56d6cf588bd26e03ee663123,1,5000,5000.0,3.995,7889.0,9.0,50.0,82.0,82.0,985.0,,,2021-10-06,3037,sangery
300,300,5825d0a72cf1425389672c35,1,5000,5000.0,4.002,12574.0,8.0,7.0,-14.0,-14.0,581.0,1.0,100.0,2021-04-10,457,shishaokang
301,301,5d55015e3cc46d5c40a15c19,1,5000,5000.0,4.015,1181.0,9.0,19.0,53.0,53.0,588.0,,,2021-09-17,4163,yulingh
302,302,5d7c4cc361090057c2bc7331,1,5000,5000.0,4.018,571.0,12.0,13.0,8.0,8.0,192.0,,,2021-03-17,3197,huhaniu
303,303,5902b4eab3e322098d3b41eb,1,5000,5000.0,4.022,35751.0,11.0,88.0,88.0,88.0,1514.0,,,2021-07-25,7852,aristotle
304,304,59afe1e030e1f33208fb2ca0,1,5000,5000.0,4.025,12033.0,7.0,6.0,-16.0,-16.0,601.0,,,2021-11-28,1164,suzhure
305,305,5819eb90d3d4474ddf97b23e,1,5000,5000.0,4.029,5995.0,5.0,5.0,0.0,0.0,763.0,,,2021-04-29,359,liaowangting
306,306,59cc8ef5776ab943e535b888,1,5000,5000.0,4.04,32323.0,15.0,13.0,-15.0,-15.0,1632.0,,,2021-11-28,2783,kljolk
307,307,5810b1db3deb94160f5cd4a3,1,5000,5000.0,4.041,15436.0,6.0,6.0,0.0,0.0,616.0,,,2020-08-07,8655,zktradecoltd
308,308,58380161e18c0f0c70dd6907,1,5000,5000.0,4.041,14194.0,8.0,7.0,-14.0,-14.0,1248.0,,,2020-06-08,8263,hallerail
309,309,59644507366c0629be364972,1,5000,5000.0,4.045,12933.0,9.0,8.0,-12.0,-12.0,1336.0,,,2020-02-27,2639,zhongminjun
310,310,59cef71c21064f20067f4313,1,5000,5000.0,4.046,2700.0,8.0,17.0,53.0,53.0,787.0,,,2020-03-04,4022,duoleh
311,311,57adc71ab0960b039817e137,1,5000,5000.0,4.048,24771.0,9.0,8.0,-12.0,-12.0,740.0,,,2021-05-19,1291,潮客来欢喜商铺
312,312,5a17b55d1f4d8c4f0b44b0ce,1,5000,5000.0,4.053,15855.0,18.0,27.0,34.0,34.0,1903.0,,,2021-10-21,3700,postonny
313,313,563a19d1f75382101530dc15,1,5000,5000.0,4.054,39395.0,8.0,7.0,-14.0,-14.0,1269.0,,,2020-06-30,5192,szglobefashionworld
314,314,5972058b439a9828e425dd78,1,5000,5000.0,4.054,13879.0,11.0,11.0,0.0,0.0,1401.0,,,2020-03-19,3214,chailing
315,315,587f55e57f83404d58fe59fb,1,5000,5000.0,4.057,4335.0,9.0,8.0,-12.0,-12.0,613.0,,,2021-06-25,7163,caohongbo
316,316,587b795b0366d00c898ea210,1,5000,5000.0,4.058,2359.0,9.0,13.0,31.0,31.0,1017.0,,,2021-09-17,315,aa388ps
317,317,58e5a2822d91301f0b3a6bd9,1,5000,5000.0,4.064,20824.0,8.0,65.0,88.0,88.0,1366.0,,,2021-10-10,654,pinksnow
318,318,5c17357134f7db2450b03d51,1,5000,5000.0,4.069,1998.0,6.0,29.0,80.0,80.0,615.0,,,2020-01-19,3885,luckyfatrendshoes
319,319,53e4bb20ff4d6d1b68bdb6d1,1,5000,5000.0,4.071,253249.0,3.67,9.0,60.0,60.0,510.0,1.0,100.0,2020-05-04,3337,shenzhenfinejofashioncoltd
320,320,5528e31e43a8db0c29241cd1,1,5000,5000.0,4.081,8500.0,11.0,10.0,-10.0,-10.0,728.0,,,2020-12-05,738,socrazyear
321,321,5641e263906c9c12737e6725,1,5000,5000.0,4.089,5534.0,5.65,9.0,38.0,38.0,1002.0,1.0,100.0,2020-05-09,317,startradingcompany
322,322,56dd52e8e0a234169b46c4ca,1,5000,5000.0,4.091,14275.0,9.0,8.0,-12.0,-12.0,827.0,,,2021-08-03,7778,sundaterly
323,323,530306fe34067e3f15c41d87,1,5000,5000.0,4.093,9116.0,19.0,21.0,10.0,10.0,1561.0,1.0,100.0,2020-12-30,3619,litiannetworking
324,324,5e50d52818034a6835aeed37,1,5000,5000.0,4.1,591.0,2.0,7.0,72.0,72.0,239.0,,,2021-06-25,8253,chenyarushop
325,325,5b5576f84543f458aee346fb,1,5000,5000.0,4.11,4220.0,14.0,26.0,47.0,47.0,437.0,,,2020-11-12,3629,minyuehuaiy9618
